215,Roque Santa Cruz
2989,Paolo Guerrero
5336,A. Tsokanis
7161,Jonas Hofmann
8198,Cristiano Ronaldo
10375,Shaun MacDonald
10471,Luiz Gustavo
11530,Lionel Carole
11686,Ian Henderson
12249,Éver Banega
12282,Daley Blind
14783,Wullie Gibson
14881,Marcelo Carné
15452,Raúl Albiol
16306,Casemiro
17259,Manuel Neuer
17965,Hugo Lloris
18913,Tomas Grigar
18922,Karim Benzema
19483,Tobias Müller
20005,Papu Gómez
20137,José Sosa
20400,Thiago Braga
20463,Corentin Jean
20769,Víctor Sifontes
21327,Ron-Robert Zieler
22415,Fábio
22686,Cephas Malele
22860,Jesper Hansen
23523,Thomas Mikkelsen
23553,Lennart Thy
24221,Yakir Shina
24307,Alex Foiera
24702,Paulo Rangel
25389,Martin Woods
25557,Sergio Ramos
25758,Jaba Kankava
25838,Galin Ivanov
27178,Rúben Fernandes
27233,Tomislav Pajovic
27349,Muriel
27700,Keith Watson
27992,Luka Modrić
28003,Lionel Messi
28285,Dani Pacheco
28308,Jasmin Buric
28396,Edin Dzeko
28874,Leonardo Villa
29091,Nenê
29241,Thiago Silva
29364,João Moutinho
29874,Brendan Clarke
30677,Gustavo Cabral
30687,Maxi Moralez
30753,Enrique Bologna
30825,Marco Ruben
30957,Gustavo Fernández
31406,Haroune Camara
31671,Turki Al-Ammar
32113,Armando Izzo
32526,Kyle McFadzean
32928,Roi Kehat
33571,De Silvestri
33706,Nani
33763,Massimo Coda
33781,Vito Mannone
34400,V. Stojkovic
34412,Milan Smiljanic
34542,Marek Suchy
34577,Tomislav Bozic
34686,Philip Hayek
35004,Balázs Dzsudzsák
35047,Axel Witsel
35207,Marco Reus
35416,David McGoldrick
35803,Mattia Migani
35976,Dragan Ceran
36139,Dusan Tadic
36709,Brian Graham
36753,Tommaso Silvestri
36789,Maciej Gostomski
36829,A. Kaludjerovic
37410,Matteo Mandorlini
37666,Arturo Vidal
37773,Adam Rooney
37920,Kamil Grosicki
37934,Hugo Rodallega
38003,Alexander Büttner
38071,Sam Wedgbury
38253,R. Lewandowski
38436,Josip Solic
38607,Di Francesco
38857,Andro Svrljuga
38978,Christian Brüls
39125,Borna Barisic
39665,Tomas Necid
39801,Nazeer Allie
39827,Jacob Butterfield
40433,Alexis Sánchez
40617,Sam Hutchinson
40680,Sven Ulreich
40792,Manuel Riemann
41022,Gilberto Macena
41335,Ruben Jenssen
41384,Marko Arnautovic
41413,Marko Mihaljevic
41653,Johan Dahlin
41780,Ivan Marconi
41875,Even Hovland
41896,Betinho
41920,Salvatore Burrai
41979,Alex Ambrosini
41982,Radja Nainggolan
41997,Lars Vilsvik
42205,Yann Sommer
42457,Dayro Moreno
42460,Ivan Perisic
42547,Lewis Stevenson
42748,Jelle Vossen
42796,Nicola Ravaglia
42913,Lasse Nielsen
43077,Mike Jensen
43228,Albert Rusnák
43491,Gabriel Graciani
43696,Ángelo Balanta
43824,Kevin Müller
44058,Wojciech Szczesny
44068,Juan Mata
44199,Mirko Palazzi
44225,Josip Jurendic
44352,Luis Suárez
44367,Roman Eremenko
44421,Cédric Avinel
44573,Kim Aabech
44698,Mário Camora
44799,Mark Randall
44857,Adrián Alvarez
45106,Simon Pontdemé
45146,Mario Balotelli
45228,Ryan Flynn
45229,Craig Lindfield
45256,J. Babin
45287,Adel Taarabt
45318,Cristian Maidana
45319,Gabriel Mercado
45320,Ángel Di María
45389,Samuel Di Carmine
45601,Martin Hansen
45646,Diego Buonanotte
45660,E. Choupo-Moting
45671,Cenk Tosun
45672,Kevin Trapp
45673,Edgar Bruno
46083,Domagoj Vida
46104,Stevan Jovetić
46111,Joe Garner
46121,Nikola Petkovic
46252,Ibrahim Sehic
46407,Bozidar Radosevic
46413,Ante Budimir
46580,Andrej Kramaric
46582,Ionuț Larie
46741,David Luiz
46791,Bakary Sako
46841,Bojan Pavlovic
46972,Teemu Pukki
46989,Sasa Stamenkovic
47085,Nenad Tomovic
47375,Ivan Rodic
47474,Marin Tomasov
47533,Marko Stanojevic
47592,Fagner
47594,Zlatan Alomerovic
47703,Petteri Pennanen
47729,Haris Radetinac
48015,Lukas Hradecky
48066,Andy Carroll
48067,Artem Dzyuba
48098,James Wilson
48226,Sam Foley
48261,Glenn Morris
48907,Erik Sviatchenko
49001,Ivan Krolo
49031,Ádám Vass
49089,Simon Eastwood
49320,Liam Dolman
49499,G. Wijnaldum
49500,Roberto Rosales
49637,Shaun Whalley
49723,Timothy Chandler
49730,Sebastian Jung
49800,Milan Mitrovic
49985,Ivan Tomecak
50104,Dean Bouzanis
50144,Cássio
50200,Kosta Barbarouses
50201,Christian Benteke
50655,Efecan Karaca
50669,Nacho Fernández
50966,Tórdur Thomsen
51035,Johny Placide
51142,Bogdan Milosevic
51152,A. Mitrović
51161,Zivko Zivkovic
51188,Már Sævarsson
51225,Hernán Rengifo
51227,Dame Traoré
51349,Mikkel Rygaard
51408,Natalio
51471,Mateo Kovacic
51546,Kevin Escamilla
51582,Lolo Pavón
51620,Jairo Arrieta
51730,Jamie Murphy
51894,Mert Günok
51975,Andrew Redmayne
51977,Pavao Pervan
52140,Mirzad Mehanovic
52188,Robert Gucher
52281,Güray Vural
52377,Adrian Cieslewicz
52497,Mark Ellis
52499,João Moreira
52723,Dávid Gróf
52836,Lulinha
52848,Fabiano
52880,Felipe
52896,Everton Ribeiro
52908,Gerson Mayén
53001,Ignacio González
53012,Richard Leyton
53019,Paulo Sérgio
53116,Robin Himmelmann
53356,Sandro
53533,Carlos Zambrano
53622,İlkay Gündoğan
53696,Lars Unnerstall
53847,Hernán Barcos
53922,Alan Kardec
53965,Guilherme Santos
54044,Bruno Mezenga
54177,Mahmut Tekdemir
54217,Raúl Fernández
54265,Ryan McGowan
54274,M. Cavichioli
54330,Gabriel Arias
54381,Tommy Smith
54528,Ioan Hora
54534,Agustín Marchesín
54535,Néstor Moiraghi
54570,Leonardo Sigali
54581,Ilija Nestorovski
54590,Germán Cano
54596,Carlos Quintana
54775,Magnus Eikrem
54781,Nicolás Otamendi
54845,Gabriel Hauche
54871,Örn Eyjólfsson
54906,Matteo Darmian
54935,Martín Cáceres
55000,Vincenzo Fiorillo
55046,Benjamin Angoua
55089,Oliver Baumann
55150,Jorge Broun
55167,Damián Díaz
55338,Willian Bigode
55378,Kayke
55499,Ivo
55520,Callum Reynolds
55525,Myles Weston
55619,Nordin Amrabat
55666,Darwin Quintero
55735,H. Mkhitaryan
55788,Simone Loiodice
55898,Josh Wright
55925,Jorge Luna
55976,Giorgi Loria
55977,Giorgi Makaridze
56006,Marcos Díaz
56064,Diego Auzqui
56066,Enzo Pérez
56100,Leon Balogun
56491,Barry Maguire
56601,Eric Botteghin
56618,Matteo Bruscagin
56682,Andrea Signorini
56809,Alexandre Oukidja
56814,T. Radovnikovic
56853,Federico Casarini
56898,S. Caturano
57071,Péter Gulácsi
57285,Simone Colombi
57299,Michele Marconi
57303,Joeri de Kamps
57522,Andrés Fernández
57598,Klaus Gjasula
57618,Andrey Klimovich
57816,Alberto Lora
57906,Sergio Suárez
57935,Álvaro Giménez
58001,Miku
58018,Nano
58088,Fernando Muslera
58110,Marcos Pérez
58175,Zequinha
58358,Thomas Müller
58359,Özgür Aktaş
58440,Sergiy Shevchuk
58456,Bojan Brac
58534,Gökhan Değirmenci
58560,H. Hernández
58570,Erando Karabeci
58577,Javier Ledesma
58864,P. Aubameyang
58884,Nacho Fernández
58890,Gary Kagelmacher
58939,O. Palamarchuk
58957,Bura
59009,Jörg Siebenhandl
59016,David Alaba
59020,Mirnes Becirovic
59027,Roman Bürki
59032,A. Dragovic
59054,Lukas Hinterseer
59082,Heinz Lindner
59100,Juan Cornejo
59246,Luca Zuffi
59249,Ivan Matyazh
59264,Gabard Fénélon
59290,Anton Savin
59322,O. Karavaev
59323,Cristhian Stuani
59335,Dani Aquino
59344,A. Illarramendi
59349,Diego Mariño
59352,A. Martynovich
59377,De Gea
